,nodeWeight,degree,pageRank,betweenness,closeness,componentId,strongComponentId,louvainComponentId,labelPropagationId,Node,type
0,3,25,0.2142047653746722,2.943589743589744,0.5154867256637168,1,0,47,6,wall-brick,stuff
1,14,52,0.2799676447721971,63.7798284017324,0.5381062355658198,1,0,31,6,bus,thing
2,15,71,0.3971350778077098,117.26376513493383,0.5508274231678487,1,0,33,6,table,stuff
3,3,27,0.22825609511748,7.17028147291305,0.516629711751663,1,0,21,6,water,stuff
4,8,58,0.3689971974688766,72.02403029546988,0.5381062355658198,1,0,31,6,paper,stuff
5,2,24,0.229664037538266,0.9581349206349208,0.5143487858719646,1,0,33,6,spoon,thing
6,1,13,0.182714232665034,0.0,0.5076252723311547,1,5,40,6,couch,thing
7,1,19,0.2375948222248325,0.0,0.5109649122807017,1,0,47,6,floor-wood,stuff
8,3,41,0.2962889422695484,11.387398506206557,0.5247747747747747,1,0,31,6,cardboard,stuff
9,5,39,0.2785874505368201,23.95909033776681,0.5247747747747747,1,0,31,6,bench,thing
10,29,105,0.4815250095253491,354.8961238280124,0.5839598997493735,1,0,33,6,chair,thing
11,12,68,0.3587879896739759,103.26700023402805,0.5469483568075117,1,0,33,6,handbag,thing
12,3,35,0.2501045230381424,5.32537185037185,0.5212527964205816,1,0,31,6,bicycle,thing
13,20,86,0.4980478045059886,203.62810214381415,0.5641646489104116,1,0,33,6,bottle,thing
14,7,45,0.3396708426363085,31.757990109305897,0.5295454545454545,1,0,33,6,window,stuff
15,1,13,0.1906899876336356,0.0,0.5076252723311547,1,0,7,6,wall-wood,stuff
16,2,12,0.1795924669287888,1.0333333333333332,0.5076252723311547,1,0,38,6,towel,stuff
17,25,79,0.3662007128272125,214.5092733418972,0.5628019323671497,1,0,31,6,motorcycle,thing
18,2,22,0.2272358121349804,1.261111111111111,0.513215859030837,1,5,33,6,cell phone,thing
19,25,95,0.4513329235940257,276.2203122427967,0.5738916256157636,1,0,31,6,pavement,stuff
20,3,27,0.2222394135966238,3.4504329004329,0.516629711751663,1,0,31,6,suitcase,thing
21,22,72,0.3362964848301758,162.28986132116933,0.5560859188544153,1,0,31,6,car,thing
22,1,19,0.237594822225615,0.0,0.5109649122807017,1,1,47,6,pizza,thing
23,6,40,0.3183258862619408,17.354108799697038,0.5259593679458239,1,0,33,6,laptop,thing
24,29,89,0.385361106356142,317.3100469963472,0.5724815724815725,1,0,7,6,tree,stuff
25,1,7,0.1643102795952942,0.0,0.5043290043290043,1,12,40,6,banana,thing
26,4,38,0.2983743901969268,15.49012278571102,0.5235955056179775,1,0,47,6,tent,stuff
27,14,66,0.358178032647906,90.38438515818544,0.5469483568075117,1,0,33,6,door-stuff,stuff
28,11,55,0.3210379959358228,44.67385371766176,0.5381062355658198,1,0,33,6,dining table,thing
29,2,18,0.2143826890586293,1.5075757575757576,0.5109649122807017,1,0,33,6,wall-tile,stuff
30,6,22,0.2208488795444919,9.409523809523808,0.5154867256637168,1,0,21,6,grass,stuff
31,47,121,0.498323526876827,807.4312766438933,0.6099476439790575,1,0,7,6,dirt,stuff
32,4,40,0.334630700251334,15.726018426018427,0.5247747747747747,1,0,33,6,rug,stuff
33,5,39,0.2618693101465121,14.01906190215014,0.5247747747747747,1,0,33,6,sports ball,thing
34,12,54,0.3123264472925,65.35025432084252,0.5381062355658198,1,0,7,6,wall-stone,stuff
35,84,186,0.7270931294281653,2724.7431401888466,0.7039274924471299,1,0,40,6,wall,stuff
36,1,5,0.1566717519472669,0.0,0.5032397408207343,1,0,38,6,things,stuff
37,83,159,0.508087829687994,2080.190627423832,0.6753623188405797,1,0,38,6,sand,stuff
38,4,38,0.2572172450841051,8.402945562349588,0.5235955056179775,1,0,31,6,potted plant,thing
39,1,9,0.1726829866812493,0.0,0.5054229934924078,1,0,40,6,cabinet,stuff
40,11,79,0.4592284584664819,96.17093282104886,0.5534441805225653,1,0,33,6,cup,thing
41,29,99,0.499180867529798,353.5038371114609,0.5796019900497512,1,0,33,6,floor,stuff
42,1,9,0.1746595558333166,0.0,0.5054229934924078,1,0,21,6,mountain,stuff
43,24,82,0.4373992638355026,291.49010592950214,0.5641646489104116,1,0,47,6,banner,stuff
44,10,44,0.2744942766848508,35.649718745306984,0.530751708428246,1,0,31,6,road,stuff
45,1,11,0.1885369340646227,0.0,0.5065217391304347,1,0,33,6,window-blind,stuff
46,11,57,0.316110878952625,51.04634748206728,0.5393518518518519,1,0,31,6,backpack,thing
47,4,24,0.230300290981045,3.228571428571428,0.5154867256637168,1,0,33,6,curtain,stuff
48,12,58,0.3384341103181444,67.3591841766764,0.5406032482598608,1,0,33,6,ceiling,stuff
49,6,46,0.3375714055705217,26.14390090903249,0.5295454545454545,1,0,33,6,bowl,thing
50,9,41,0.2605237419182612,34.79098858657683,0.528344671201814,1,0,7,6,rock,stuff
51,101,179,0.5115393199051063,2973.9470858347017,0.7147239263803681,1,0,38,6,sky,stuff
52,5,45,0.3190988790836021,23.24729200538024,0.528344671201814,1,0,33,6,book,thing
53,6,40,0.2835569081776324,19.05037827669407,0.5259593679458239,1,0,7,6,food,stuff
54,19,59,0.2813654251110039,111.39732803745956,0.5456674473067916,1,0,31,6,truck,thing
55,177,289,0.850460942922587,13534.50670440239,1.0,1,0,38,6,person,thing
56,27,83,0.3775528170629489,220.3496515309596,0.5669099756690997,1,0,31,6,building,stuff
